# l, t, x, y
0 0.0000 0.2396 0.4396
0 0.0803 0.2396 0.4412
0 0.1010 0.2411 0.4442
0 0.1214 0.2488 0.4611
0 0.1225 0.2610 0.4749
0 0.1452 0.2993 0.5086
0 0.1464 0.3254 0.5254
0 0.1693 0.3882 0.5576
0 0.1871 0.4295 0.5699
0 0.1883 0.4510 0.5729
0 0.2117 0.4862 0.5729
0 0.2128 0.4969 0.5729
0 0.2363 0.5138 0.5637
0 0.2534 0.5199 0.5101
0 0.2545 0.5199 0.4718
0 0.2784 0.5123 0.4029
0 0.2795 0.5015 0.3631
0 0.3031 0.4816 0.3094
0 0.3044 0.4724 0.2911
0 0.3282 0.4540 0.2650
0 0.3293 0.4433 0.2543
0 0.3534 0.4372 0.2528
0 0.3545 0.4326 0.2512
0 0.3781 0.4265 0.2665
0 0.3794 0.4249 0.2880
0 0.4039 0.4203 0.3539
0 0.4050 0.4203 0.3906
0 0.4283 0.4203 0.4642
0 0.4294 0.4219 0.4856
0 0.4532 0.4341 0.5285
0 0.4543 0.4433 0.5453
0 0.4783 0.4617 0.5576
0 0.4794 0.4740 0.5591
0 0.5032 0.5061 0.5469
0 0.5044 0.5276 0.5270
0 0.5282 0.5980 0.4412
0 0.5294 0.6394 0.3876
0 0.5535 0.6991 0.3140
0 0.5553 0.7221 0.2895
0 0.5782 0.7589 0.2512
0 0.5797 0.7727 0.2344
0 0.6092 0.7834 0.2221
