# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 0.0481 0.1746
0 0.3110 0.0481 0.1746
0 0.3480 0.0527 0.1746
0 0.3762 0.0588 0.1746
0 0.3964 0.0619 0.1746
0 0.3976 0.0634 0.1746
0 0.4194 0.0680 0.1746
0 0.4220 0.0711 0.1746
0 0.4458 0.0757 0.1746
0 0.4473 0.0787 0.1746
0 0.4684 0.0833 0.1746
0 0.4872 0.0879 0.1746
0 0.4885 0.0910 0.1746
0 0.5108 0.0971 0.1746
0 0.5135 0.0987 0.1746
0 0.5353 0.1048 0.1746
0 0.5535 0.1109 0.1746
0 0.5550 0.1140 0.1746
0 0.5781 0.1201 0.1746
0 0.5792 0.1232 0.1746
0 0.6023 0.1293 0.1746
0 0.6204 0.1369 0.1746
0 0.6218 0.1400 0.1746
0 0.6440 0.1461 0.1746
0 0.6624 0.1523 0.1746
0 0.6635 0.1553 0.1746
0 0.6855 0.1599 0.1746
0 0.7038 0.1661 0.1731
0 0.7052 0.1676 0.1731
0 0.7275 0.1737 0.1731
0 0.7302 0.1752 0.1731
0 0.7520 0.1798 0.1731
0 0.7701 0.1844 0.1731
0 0.7713 0.1875 0.1731
0 0.7947 0.1936 0.1716
0 0.7968 0.1967 0.1716
0 0.8195 0.2013 0.1716
0 0.8217 0.2044 0.1716
0 0.8445 0.2089 0.1716
0 0.8469 0.2105 0.1716
0 0.8689 0.2151 0.1716
0 0.8871 0.2197 0.1716
0 0.8886 0.2212 0.1716
0 0.9116 0.2243 0.1700
0 0.9136 0.2243 0.1700
0 0.9355 0.2273 0.1700
0 0.9539 0.2289 0.1700
0 0.9552 0.2319 0.1700
0 0.9782 0.2350 0.1700
0 0.9799 0.2365 0.1685
0 1.0022 0.2396 0.1685
0 1.0208 0.2442 0.1685
0 1.0229 0.2457 0.1685
0 1.0452 0.2488 0.1685
0 1.0466 0.2503 0.1685
0 1.0694 0.2549 0.1685
0 1.0720 0.2549 0.1685
0 1.0941 0.2595 0.1685
0 1.0970 0.2610 0.1685
0 1.1198 0.2641 0.1685
0 1.1212 0.2656 0.1685
0 1.1451 0.2672 0.1685
0 1.1465 0.2687 0.1685
0 1.1686 0.2687 0.1685
0 1.1867 0.2702 0.1685
0 1.2725 0.2702 0.1685
0 1.2929 0.2702 0.1700
0 1.3113 0.2702 0.1731
0 1.3133 0.2687 0.1746
0 1.3353 0.2672 0.1792
0 1.3539 0.2656 0.1823
0 1.3551 0.2641 0.1869
0 1.3785 0.2641 0.1976
0 1.3798 0.2626 0.2053
0 1.4034 0.2626 0.2175
0 1.4048 0.2626 0.2282
0 1.4286 0.2626 0.2374
0 1.4299 0.2626 0.2451
0 1.4521 0.2626 0.2543
0 1.4703 0.2610 0.2635
0 1.4715 0.2595 0.2681
0 1.4945 0.2580 0.2757
0 1.4966 0.2580 0.2803
0 1.5186 0.2549 0.2895
0 1.5366 0.2534 0.2972
0 1.5386 0.2534 0.3002
0 1.5604 0.2518 0.3079
0 1.5784 0.2518 0.3156
0 1.5803 0.2503 0.3186
0 1.6022 0.2503 0.3248
0 1.6203 0.2503 0.3294
0 1.6216 0.2503 0.3309
0 1.6452 0.2503 0.3339
0 1.6464 0.2503 0.3370
0 1.6692 0.2503 0.3401
0 1.6719 0.2503 0.3416
0 1.6953 0.2488 0.3431
0 1.6969 0.2488 0.3431
0 1.7188 0.2488 0.3447
0 1.7370 0.2472 0.3447
0 1.7389 0.2472 0.3447
0 1.7609 0.2472 0.3447
0 1.7863 0.2472 0.3447
0 2.1105 0.2472 0.3447
0 2.1465 0.2488 0.3447
0 2.1483 0.2503 0.3447
0 2.1739 0.2534 0.3431
0 2.1963 0.2549 0.3431
0 2.1976 0.2549 0.3416
0 2.2200 0.2564 0.3416
0 2.2221 0.2580 0.3416
0 2.2441 0.2610 0.3401
0 2.2469 0.2626 0.3401
0 2.2696 0.2656 0.3401
0 2.2726 0.2687 0.3401
0 2.2945 0.2748 0.3401
0 2.2969 0.2779 0.3401
0 2.3196 0.2825 0.3401
0 2.3208 0.2855 0.3401
0 2.3445 0.2917 0.3385
0 2.3469 0.2947 0.3385
0 2.3688 0.2993 0.3385
0 2.3870 0.3024 0.3385
0 2.3887 0.3055 0.3385
0 2.4109 0.3085 0.3370
0 2.4135 0.3100 0.3370
0 2.4353 0.3146 0.3370
0 2.4532 0.3192 0.3370
0 2.4554 0.3223 0.3370
0 2.4780 0.3284 0.3370
0 2.4810 0.3300 0.3370
0 2.5026 0.3361 0.3370
0 2.5052 0.3407 0.3370
0 2.5286 0.3468 0.3370
0 2.5301 0.3499 0.3370
0 2.5521 0.3560 0.3370
0 2.5700 0.3606 0.3370
0 2.5723 0.3637 0.3370
0 2.5937 0.3683 0.3370
0 2.6119 0.3713 0.3385
0 2.6135 0.3729 0.3385
0 2.6355 0.3775 0.3385
0 2.6537 0.3805 0.3385
0 2.6560 0.3820 0.3385
0 2.6779 0.3851 0.3385
0 2.6799 0.3866 0.3385
0 2.7023 0.3912 0.3385
0 2.7206 0.3958 0.3385
0 2.7222 0.3974 0.3385
0 2.7451 0.4004 0.3385
0 2.7466 0.4035 0.3385
0 2.7690 0.4081 0.3385
0 2.7721 0.4096 0.3385
0 2.7940 0.4142 0.3385
0 2.7971 0.4157 0.3385
0 2.8193 0.4203 0.3385
0 2.8220 0.4219 0.3385
0 2.8446 0.4249 0.3385
0 2.8470 0.4249 0.3385
0 2.8690 0.4265 0.3385
0 2.8880 0.4280 0.3385
0 2.9559 0.4280 0.3385
0 2.9759 0.4280 0.3401
0 2.9941 0.4280 0.3416
0 2.9973 0.4280 0.3416
0 3.0188 0.4265 0.3431
0 3.0369 0.4265 0.3462
0 3.0390 0.4249 0.3462
0 3.0611 0.4249 0.3493
