# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 0.4020 0.7797
0 0.2869 0.4020 0.7782
0 0.3220 0.4020 0.7705
0 0.3466 0.3974 0.7598
0 0.3675 0.3958 0.7552
0 0.3687 0.3943 0.7475
0 0.3886 0.3912 0.7399
0 0.3903 0.3897 0.7368
0 0.4131 0.3882 0.7292
0 0.4319 0.3836 0.7184
0 0.4550 0.3805 0.7123
0 0.4568 0.3790 0.7093
0 0.4800 0.3775 0.7031
0 0.4978 0.3744 0.6970
0 0.5154 0.3713 0.6893
0 0.5381 0.3683 0.6832
0 0.5406 0.3667 0.6801
0 0.5635 0.3652 0.6756
0 0.5811 0.3637 0.6710
0 0.5987 0.3606 0.6633
0 0.6214 0.3575 0.6572
0 0.6394 0.3560 0.6526
0 0.6407 0.3545 0.6510
0 0.6633 0.3529 0.6464
0 0.6814 0.3483 0.6403
0 0.7054 0.3468 0.6342
0 0.7066 0.3453 0.6327
0 0.7302 0.3422 0.6281
0 0.7479 0.3392 0.6219
0 0.7492 0.3376 0.6204
0 0.7714 0.3361 0.6158
0 0.7890 0.3330 0.6112
0 0.7903 0.3315 0.6081
0 0.8138 0.3300 0.6036
0 0.8322 0.3254 0.5959
0 0.8548 0.3223 0.5898
0 0.8725 0.3208 0.5852
0 0.8737 0.3192 0.5836
0 0.8970 0.3162 0.5775
0 0.9153 0.3146 0.5729
0 0.9165 0.3131 0.5699
0 0.9390 0.3100 0.5637
0 0.9404 0.3100 0.5637
0 0.9634 0.3070 0.5576
0 0.9821 0.3039 0.5530
0 0.9832 0.3024 0.5499
0 1.0057 0.2993 0.5438
0 1.0071 0.2978 0.5407
0 1.0312 0.2963 0.5362
0 1.0323 0.2947 0.5331
0 1.0553 0.2917 0.5270
0 1.0568 0.2901 0.5239
0 1.0804 0.2871 0.5178
0 1.0985 0.2840 0.5132
0 1.0999 0.2825 0.5101
0 1.1220 0.2794 0.5055
0 1.1236 0.2779 0.5025
0 1.1470 0.2763 0.4979
0 1.1651 0.2733 0.4917
0 1.1663 0.2718 0.4902
0 1.1884 0.2702 0.4856
0 1.1900 0.2687 0.4841
0 1.2133 0.2672 0.4795
0 1.2310 0.2641 0.4733
0 1.2490 0.2626 0.4687
0 1.2502 0.2610 0.4672
0 1.2714 0.2580 0.4611
0 1.2892 0.2564 0.4565
0 1.2905 0.2534 0.4519
0 1.3129 0.2518 0.4488
0 1.3311 0.2503 0.4427
0 1.3489 0.2472 0.4381
0 1.3502 0.2457 0.4335
0 1.3723 0.2426 0.4289
0 1.3743 0.2411 0.4259
0 1.3976 0.2381 0.4182
0 1.4160 0.2335 0.4105
0 1.4389 0.2319 0.4044
0 1.4400 0.2304 0.4029
0 1.4642 0.2289 0.3968
0 1.4827 0.2258 0.3922
0 1.4840 0.2258 0.3906
0 1.5057 0.2227 0.3845
0 1.5093 0.2227 0.3830
0 1.5309 0.2212 0.3784
0 1.5499 0.2181 0.3738
0 1.5721 0.2166 0.3707
0 1.5750 0.2166 0.3707
0 1.5973 0.2151 0.3692
0 1.6154 0.2151 0.3676
0 1.6168 0.2151 0.3676
0 1.6384 0.2151 0.3661
0 1.7832 0.2151 0.3676
0 1.8101 0.2151 0.3676
0 1.8322 0.2166 0.3692
0 1.8334 0.2166 0.3692
0 1.8563 0.2181 0.3707
0 1.8575 0.2181 0.3722
0 1.8802 0.2197 0.3738
0 1.8982 0.2227 0.3753
0 1.8994 0.2243 0.3768
0 1.9220 0.2273 0.3784
0 1.9234 0.2304 0.3799
0 1.9467 0.2350 0.3814
0 1.9647 0.2365 0.3830
0 1.9661 0.2426 0.3860
0 1.9892 0.2472 0.3876
0 1.9905 0.2518 0.3906
0 2.0127 0.2564 0.3922
0 2.0309 0.2626 0.3952
0 2.0493 0.2656 0.3968
0 2.0505 0.2733 0.3998
0 2.0720 0.2779 0.4013
0 2.0732 0.2825 0.4029
0 2.0974 0.2901 0.4059
0 2.1162 0.2917 0.4075
0 2.1176 0.2978 0.4090
0 2.1385 0.3039 0.4121
0 2.1398 0.3070 0.4136
0 2.1636 0.3131 0.4151
0 2.1813 0.3146 0.4167
0 2.1825 0.3208 0.4197
0 2.2044 0.3269 0.4213
0 2.2223 0.3315 0.4228
0 2.2234 0.3346 0.4243
0 2.2466 0.3407 0.4259
0 2.2650 0.3453 0.4289
0 2.2664 0.3483 0.4289
0 2.2890 0.3545 0.4305
0 2.2903 0.3560 0.4320
0 2.3144 0.3637 0.4350
0 2.3325 0.3683 0.4366
0 2.3549 0.3729 0.4381
0 2.3570 0.3759 0.4396
0 2.3805 0.3805 0.4412
0 2.3991 0.3820 0.4427
0 2.4003 0.3866 0.4442
0 2.4223 0.3912 0.4473
0 2.4240 0.3943 0.4473
0 2.4467 0.3974 0.4504
0 2.4649 0.4004 0.4504
0 2.4661 0.4050 0.4534
0 2.4885 0.4096 0.4550
0 2.4901 0.4127 0.4550
0 2.5132 0.4173 0.4580
0 2.5313 0.4219 0.4596
0 2.5326 0.4234 0.4611
0 2.5552 0.4295 0.4626
0 2.5569 0.4311 0.4642
0 2.5798 0.4372 0.4657
0 2.5979 0.4418 0.4687
0 2.5993 0.4433 0.4703
0 2.6215 0.4479 0.4718
