# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 0.1599 0.7675
0 0.3134 0.1615 0.7675
0 0.3493 0.1661 0.7675
0 0.3510 0.1691 0.7675
0 0.3795 0.1768 0.7675
0 0.3997 0.1906 0.7675
0 0.4231 0.1998 0.7675
0 0.4469 0.2044 0.7675
0 0.4480 0.2089 0.7675
0 0.4716 0.2135 0.7675
0 0.4727 0.2166 0.7675
0 0.4973 0.2212 0.7675
0 0.4985 0.2243 0.7675
0 0.5224 0.2289 0.7675
0 0.5237 0.2304 0.7675
0 0.5464 0.2365 0.7675
0 0.5487 0.2396 0.7675
0 0.5710 0.2457 0.7675
0 0.5889 0.2518 0.7675
0 0.5904 0.2549 0.7675
0 0.6133 0.2610 0.7675
0 0.6156 0.2641 0.7675
0 0.6378 0.2702 0.7659
0 0.6555 0.2763 0.7659
0 0.6570 0.2779 0.7659
0 0.6797 0.2840 0.7659
0 0.6976 0.2901 0.7659
0 0.6989 0.2917 0.7659
0 0.7212 0.2963 0.7659
0 0.7386 0.3024 0.7659
0 0.7404 0.3039 0.7659
0 0.7630 0.3085 0.7644
0 0.7642 0.3100 0.7644
0 0.7891 0.3146 0.7644
0 0.7902 0.3177 0.7644
0 0.8133 0.3223 0.7644
0 0.8149 0.3238 0.7644
0 0.8389 0.3284 0.7644
0 0.8403 0.3300 0.7644
0 0.8631 0.3346 0.7644
0 0.8657 0.3376 0.7644
0 0.8880 0.3438 0.7644
0 0.8904 0.3453 0.7644
0 0.9140 0.3514 0.7644
0 0.9156 0.3529 0.7644
0 0.9397 0.3591 0.7644
0 0.9409 0.3606 0.7644
0 0.9633 0.3652 0.7644
0 0.9654 0.3683 0.7644
0 0.9883 0.3729 0.7644
0 0.9904 0.3759 0.7644
0 1.0132 0.3820 0.7644
0 1.0156 0.3851 0.7644
0 1.0380 0.3897 0.7644
0 1.0404 0.3928 0.7644
0 1.0642 0.3989 0.7659
0 1.0655 0.4020 0.7659
0 1.0889 0.4066 0.7659
0 1.0908 0.4096 0.7675
0 1.1137 0.4142 0.7675
0 1.1152 0.4157 0.7690
0 1.1384 0.4203 0.7690
0 1.1403 0.4219 0.7690
0 1.1636 0.4249 0.7690
0 1.1652 0.4280 0.7690
0 1.1892 0.4311 0.7690
0 1.1905 0.4326 0.7690
0 1.2134 0.4357 0.7690
0 1.2151 0.4372 0.7690
0 1.2389 0.4403 0.7690
0 1.2403 0.4403 0.7690
0 1.2636 0.4418 0.7690
0 1.2654 0.4433 0.7690
0 1.4095 0.4433 0.7690
0 1.4346 0.4433 0.7675
0 1.4566 0.4433 0.7644
0 1.4581 0.4433 0.7644
0 1.4805 0.4433 0.7613
0 1.4823 0.4433 0.7598
0 1.5063 0.4433 0.7583
0 1.5074 0.4433 0.7552
0 1.5307 0.4418 0.7521
0 1.5320 0.4418 0.7506
0 1.5562 0.4418 0.7475
0 1.5574 0.4418 0.7460
0 1.5803 0.4418 0.7430
0 1.5818 0.4418 0.7414
0 1.6053 0.4418 0.7368
0 1.6077 0.4418 0.7338
0 1.6302 0.4418 0.7292
0 1.6314 0.4418 0.7276
0 1.6556 0.4418 0.7215
0 1.6567 0.4418 0.7184
0 1.6808 0.4418 0.7108
0 1.6822 0.4418 0.7062
0 1.7053 0.4418 0.6985
0 1.7066 0.4418 0.6939
0 1.7308 0.4418 0.6863
0 1.7321 0.4418 0.6817
0 1.7553 0.4418 0.6740
0 1.7565 0.4433 0.6710
0 1.7811 0.4433 0.6648
0 1.7823 0.4433 0.6618
0 1.8054 0.4433 0.6541
0 1.8069 0.4433 0.6526
