# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 -0.0178 0.6526
0 0.2681 -0.0178 0.6510
0 0.3018 -0.0116 0.6373
0 0.3035 -0.0070 0.6281
0 0.3285 0.0021 0.6127
0 0.3534 0.0098 0.5928
0 0.3774 0.0175 0.5806
0 0.3785 0.0190 0.5744
0 0.4010 0.0251 0.5637
0 0.4183 0.0297 0.5545
0 0.4194 0.0313 0.5499
0 0.4433 0.0358 0.5423
0 0.4445 0.0389 0.5392
0 0.4683 0.0420 0.5331
0 0.4694 0.0435 0.5285
0 0.4933 0.0450 0.5254
0 0.4944 0.0466 0.5224
0 0.5183 0.0481 0.5193
0 0.5194 0.0496 0.5162
0 0.5431 0.0512 0.5132
0 0.5604 0.0527 0.5101
0 0.5615 0.0542 0.5086
0 0.5849 0.0558 0.5055
0 0.5861 0.0573 0.5040
0 0.6092 0.0588 0.5009
0 0.6265 0.0604 0.4979
0 0.6437 0.0619 0.4933
0 0.6448 0.0634 0.4917
0 0.6682 0.0650 0.4887
0 0.6693 0.0665 0.4856
0 0.6932 0.0680 0.4810
0 0.6943 0.0695 0.4795
0 0.7184 0.0726 0.4733
0 0.7194 0.0726 0.4703
0 0.7427 0.0757 0.4657
0 0.7599 0.0787 0.4580
0 0.7610 0.0803 0.4550
0 0.7839 0.0833 0.4473
0 0.8011 0.0879 0.4396
0 0.8182 0.0925 0.4335
0 0.8192 0.0941 0.4289
0 0.8434 0.0971 0.4228
0 0.8445 0.0987 0.4182
0 0.8688 0.1017 0.4136
0 0.8699 0.1032 0.4090
0 0.8933 0.1063 0.4044
0 0.8944 0.1078 0.4013
0 0.9182 0.1109 0.3983
0 0.9193 0.1109 0.3968
0 0.9430 0.1124 0.3952
0 0.9602 0.1140 0.3937
0 0.9613 0.1140 0.3937
0 0.9853 0.1140 0.3937
0 0.9864 0.1155 0.3937
0 1.0282 0.1155 0.3937
0 1.0467 0.1155 0.3968
0 1.0680 0.1155 0.3983
0 1.0855 0.1170 0.4029
0 1.0866 0.1170 0.4044
0 1.1101 0.1186 0.4075
0 1.1113 0.1186 0.4090
0 1.1351 0.1186 0.4121
0 1.1362 0.1201 0.4136
0 1.1597 0.1201 0.4167
0 1.1771 0.1201 0.4213
0 1.1782 0.1201 0.4228
0 1.2013 0.1216 0.4243
0 1.2187 0.1216 0.4289
0 1.2198 0.1216 0.4305
0 1.2434 0.1232 0.4366
0 1.2445 0.1232 0.4396
0 1.2680 0.1262 0.4473
0 1.2853 0.1278 0.4550
0 1.2864 0.1293 0.4596
0 1.3094 0.1308 0.4657
0 1.3268 0.1324 0.4733
0 1.3279 0.1339 0.4764
0 1.3516 0.1354 0.4825
0 1.3529 0.1369 0.4871
0 1.3769 0.1385 0.4917
0 1.3780 0.1385 0.4948
0 1.4079 0.1415 0.5055
0 1.4261 0.1431 0.5132
0 1.4437 0.1446 0.5208
0 1.4448 0.1446 0.5254
0 1.4683 0.1477 0.5346
0 1.4695 0.1477 0.5377
0 1.4935 0.1492 0.5453
0 1.4946 0.1507 0.5499
0 1.5184 0.1523 0.5591
0 1.5195 0.1538 0.5637
0 1.5435 0.1538 0.5683
0 1.5446 0.1538 0.5714
0 1.5686 0.1553 0.5790
0 1.5697 0.1569 0.5821
0 1.5935 0.1569 0.5882
0 1.5946 0.1584 0.5913
0 1.6186 0.1584 0.5974
0 1.6197 0.1599 0.6005
0 1.6435 0.1599 0.6066
0 1.6447 0.1615 0.6097
0 1.6685 0.1615 0.6173
0 1.6696 0.1630 0.6204
0 1.6933 0.1630 0.6265
0 1.6944 0.1645 0.6296
0 1.7184 0.1645 0.6327
0 1.7195 0.1661 0.6357
0 1.7434 0.1661 0.6403
0 1.7445 0.1676 0.6419
0 1.7683 0.1676 0.6464
0 1.7694 0.1691 0.6480
0 1.7935 0.1691 0.6526
0 1.7946 0.1691 0.6541
0 1.8184 0.1706 0.6556
0 1.8196 0.1706 0.6556
0 1.8434 0.1706 0.6556
0 2.0133 0.1706 0.6556
0 2.0415 0.1706 0.6526
0 2.0623 0.1706 0.6495
0 2.0856 0.1706 0.6449
0 2.0867 0.1706 0.6434
0 2.1104 0.1706 0.6403
0 2.1115 0.1706 0.6373
0 2.1350 0.1722 0.6327
0 2.1361 0.1722 0.6311
0 2.1603 0.1737 0.6250
0 2.1615 0.1737 0.6235
0 2.1848 0.1752 0.6189
0 2.1860 0.1768 0.6158
0 2.2101 0.1783 0.6112
0 2.2112 0.1783 0.6066
0 2.2346 0.1814 0.6005
0 2.2522 0.1829 0.5928
0 2.2533 0.1844 0.5898
0 2.2767 0.1890 0.5806
0 2.2778 0.1906 0.5760
0 2.3019 0.1936 0.5668
0 2.3030 0.1967 0.5622
0 2.3271 0.1998 0.5545
0 2.3283 0.2013 0.5499
0 2.3525 0.2044 0.5407
0 2.3540 0.2059 0.5377
0 2.3774 0.2089 0.5316
0 2.3785 0.2089 0.5285
0 2.4017 0.2120 0.5208
0 2.4029 0.2120 0.5193
0 2.4267 0.2151 0.5132
0 2.4278 0.2166 0.5101
0 2.4520 0.2181 0.5040
0 2.4532 0.2197 0.5009
0 2.4759 0.2212 0.4963
0 2.4933 0.2243 0.4902
0 2.4944 0.2258 0.4871
0 2.5186 0.2273 0.4810
0 2.5198 0.2289 0.4779
0 2.5435 0.2304 0.4718
0 2.5447 0.2319 0.4687
0 2.5681 0.2350 0.4626
0 2.5693 0.2365 0.4580
0 2.5926 0.2381 0.4519
0 2.6100 0.2396 0.4473
0 2.6111 0.2411 0.4442
0 2.6352 0.2426 0.4366
0 2.6364 0.2442 0.4335
0 2.6599 0.2457 0.4274
0 2.6610 0.2472 0.4259
0 2.6850 0.2488 0.4213
0 2.6862 0.2488 0.4182
0 2.7104 0.2518 0.4136
0 2.7116 0.2518 0.4121
0 2.7351 0.2534 0.4090
0 2.7363 0.2549 0.4059
0 2.7595 0.2564 0.4029
0 2.7771 0.2580 0.4013
0 2.7782 0.2580 0.3998
0 2.8019 0.2580 0.3983
0 2.8616 0.2595 0.3983
0 2.8808 0.2595 0.3983
0 2.9368 0.2595 0.3983
0 2.9559 0.2595 0.4013
0 2.9762 0.2595 0.4059
0 2.9935 0.2595 0.4105
0 2.9947 0.2595 0.4121
0 3.0185 0.2595 0.4167
0 3.0197 0.2595 0.4182
